홀 번호,Par,합계 (Total SG),원본 SG,샷 상세 내역 (샷:위치:점수)
26,5,5.35,5.35,"1타 [TE] (-0.77점) -> 2타 [FB / 112] (-0.12점) -> 3타 [GA / 6] (1점) -> 4타 [GA / 6] (-1.01점) -> 5타 [FW / 80] (0.86점) -> 6타 [GB / 1] (0점) -> 7타 [GR / 3] (1.1점) -> 8타 [GR / 4] (1.3점) -> 9타 [GR / 9] (0.9점) -> 10타 [GR / 7] (0.9점) -> 11타 [GR / 5] (0.3점) -> 12타 [GR / 1] (1.25점) -> 13타 [GR / 2] (-0.35점)"
30,3,-0.29,-0.2949999999999999,"1타 [TE] (0.38점) -> 2타 [RO / 13] (0.45점) -> 3타 [RO / 106] (-0.42점) -> 4타 [GR / 4] (-0.7점)"
31,5,-1.25,-1.25,"1타 [TE] (-0.15점) -> 2타 [GR / 11] (-1.1점)"
36,4,2.85,2.8549999999999995,"1타 [TE] (-0.65점) -> 2타 [GA / 22] (-0.53점) -> 3타 [FW / 26] (0.88점) -> 4타 [GA / 23] (0.75점) -> 5타 [GA / 2] (1.5점) -> 6타 [GB / 5] (-0.08점) -> 7타 [FW / 113] (0.23점) -> 8타 [FB / 94] (-0.53점) -> 9타 [FW / 51] (0.21점) -> 10타 [FB / 37] (-0.09점) -> 11타 [RO / 44] (0.5점) -> 12타 [GR / 20] (0.38점) -> 13타 [GR / 4] (1점) -> 14타 [GR / 4] (-0.7점)"
37,4,0.35,0.34999999999999987,"1타 [TE] (-0.65점) -> 2타 [GA / 22] (1점) -> 3타 [GA / 22] (0.31점) -> 4타 [GR / 19] (0.64점) -> 5타 [GR / 8] (-0.95점)"
38,4,0.12,0.11999999999999988,"1타 [TE] (-0.4점) -> 2타 [GB / 19] (0.92점) -> 3타 [RO / 24] (0.13점) -> 4타 [RO / 52] (0.48점) -> 5타 [GA / 16] (0.18점) -> 6타 [RO / 119] (-0.08점) -> 7타 [GR / 11] (-1.1점)"
44,5,8.62,8.615000000000002,"1타 [TE] (-0.97점) -> 2타 [FB / 75] (1.25점) -> 3타 [RO / 136] (0.42점) -> 4타 [FW / 70] (2.31점) -> 5타 [OB] (1.38점) -> 6타 [RO / 151] (-0.28점) -> 7타 [GA / 4] (1.5점) -> 8타 [GB / 20] (1점) -> 9타 [GB / 6] (0.84점) -> 10타 [RO / 15] (-0.73점) -> 11타 [RO / 37] (0.23점) -> 12타 [GA / 10] (1.5점) -> 13타 [GB / 24] (0.64점) -> 14타 [FW / 27] (0.63점) -> 15타 [GA / 7] (-1.1점)"
45,4,3.02,3.0249999999999995,"1타 [TE] (-0.02점) -> 2타 [RO / 73] (1.05점) -> 3타 [FB / 79] (0.32점) -> 4타 [GA / 13] (0.23점) -> 5타 [FB / 119] (0.43점) -> 6타 [GB / 28] (0.9점) -> 7타 [RO / 56] (0.2점) -> 8타 [RO / 91] (0.05점) -> 9타 [FB / 92] (0.19점) -> 10타 [GR / 19] (0.64점) -> 11타 [GR / 8] (-0.95점)"
47,3,4.56,4.555,"1타 [TE] (0.85점) -> 2타 [FW / 109] (0.26점) -> 3타 [GA / 10] (0.25점) -> 4타 [FB / 74] (-0.1점) -> 5타 [FW / 152] (0.51점) -> 6타 [GB / 13] (0.94점) -> 7타 [RO / 40] (0.83점) -> 8타 [GB / 26] (0.51점) -> 9타 [FW / 15] (0.23점) -> 10타 [GR / 4] (0.65점) -> 11타 [GR / 2] (-0.35점)"
49,5,-1.82,-1.825,"1타 [TE] (0.2점) -> 2타 [GA / 28] (-1.07점) -> 3타 [RO / 19] (-1.06점) -> 4타 [FW / 29] (0.1점) -> 5타 [RO / 149] (-0.95점) -> 6타 [FB / 93] (-0.02점) -> 7타 [GA / 3] (1.35점) -> 8타 [GA / 26] (1.2점) -> 9타 [GB / 28] (1.35점) -> 10타 [OB] (-0.82점) -> 11타 [RO / 61] (-1.35점) -> 12타 [RO / 12] (0.57점) -> 13타 [GR / 20] (-1.32점)"
50,3,6.21,6.205000000000001,"1타 [TE] (0.6점) -> 2타 [GB / 12] (0.64점) -> 3타 [FW / 20] (0.78점) -> 4타 [FB / 153] (0.18점) -> 5타 [GB / 18] (0.4점) -> 6타 [PS] (0.2점) -> 7타 [RO / 54] (0.33점) -> 8타 [RO / 132] (-0.08점) -> 9타 [RO / 56] (0.05점) -> 10타 [FW / 43] (1.04점) -> 11타 [FB / 35] (0.36점) -> 12타 [GR / 17] (0.42점) -> 13타 [GR / 4] (1.25점) -> 14타 [GR / 8] (0.85점) -> 15타 [GR / 5] (-0.8점)"
51,3,-0.47,-0.4749999999999999,"1타 [TE] (0.6점) -> 2타 [GB / 11] (-0.08점) -> 3타 [FW / 135] (-0.04점) -> 4타 [GR / 8] (-0.95점)"
54,3,4.86,4.855,"1타 [TE] (0.85점) -> 2타 [FW / 100] (0.51점) -> 3타 [GA / 14] (0.57점) -> 4타 [FB / 22] (0.78점) -> 5타 [FB / 35] (0점) -> 6타 [FW / 108] (0.21점) -> 7타 [GR / 10] (0.05점) -> 8타 [GR / 1] (1.8점) -> 9타 [GR / 7] (0.95점) -> 10타 [GR / 6] (-0.85점)"
55,3,2.54,2.54,"1타 [TE] (0.24점) -> 2타 [FW / 25] (1.1점) -> 3타 [FB / 26] (1.2점) -> 4타 [FB / 26] (0.35점) -> 5타 [GA / 11] (0.79점) -> 6타 [GR / 12] (-1.14점)"
56,3,3.5,3.4999999999999996,"1타 [TE] (0.1점) -> 2타 [GA / 10] (0.25점) -> 3타 [FB / 119] (0.78점) -> 4타 [FB / 119] (0.45점) -> 5타 [GA / 28] (-0.08점) -> 6타 [FW / 127] (0.66점) -> 7타 [GB / 2] (-0.08점) -> 8타 [FW / 136] (1점) -> 9타 [FW / 136] (0.35점) -> 10타 [GA / 13] (0.2점) -> 11타 [RO / 106] (-1.02점) -> 12타 [GR / 1] (1.5점) -> 13타 [GR / 3] (-0.6점)"
57,3,-0.07,-0.07499999999999996,"1타 [TE] (0.1점) -> 2타 [GA / 6] (0.2점) -> 3타 [RO / 157] (-0.37점) -> 4타 [GR / 9] (0.9점) -> 5타 [GR / 7] (-0.9점)"
59,5,-0.25,-0.25,"1타 [TE] (-0.4점) -> 2타 [GR / 6] (1점) -> 3타 [GR / 6] (-0.85점)"
61,4,3.53,3.5250000000000004,"1타 [TE] (-0.4점) -> 2타 [GB / 8] (0.2점) -> 3타 [RO / 131] (-0.15점) -> 4타 [RO / 100] (1.88점) -> 5타 [OB] (1점) -> 6타 [OB] (0.6점) -> 7타 [GB / 18] (0.61점) -> 8타 [GR / 14] (0.59점) -> 9타 [GR / 5] (-0.8점)"
64,5,1.75,1.7500000000000002,"1타 [TE] (0.1점) -> 2타 [GA / 24] (0점) -> 3타 [GR / 2] (1.35점) -> 4타 [GR / 4] (1.25점) -> 5타 [GR / 8] (-0.95점)"
65,5,-1.25,-1.25,"1타 [TE] (0.07점) -> 2타 [GR / 20] (-1.32점)"
69,5,-1.55,-1.5499999999999998,"1타 [TE] (0.75점) -> 2타 [PS] (-0.52점) -> 3타 [FB / 119] (0.38점) -> 4타 [GB / 7] (0.2점) -> 5타 [RO / 75] (-0.55점) -> 6타 [FB / 106] (-0.55점) -> 7타 [FB / 140] (-0.95점) -> 8타 [FB / 104] (0.28점) -> 9타 [GA / 30] (-1.2점) -> 10타 [FW / 47] (-0.32점) -> 11타 [FB / 68] (-1.25점) -> 12타 [FB / 14] (2.2점) -> 13타 [OB] (0.05점) -> 14타 [GR / 10] (0.75점) -> 15타 [GR / 5] (-0.8점)"
70,3,1.24,1.2449999999999999,"1타 [TE] (0.1점) -> 2타 [GA / 9] (0.25점) -> 3타 [FB / 149] (-0.45점) -> 4타 [FW / 137] (0.57점) -> 5타 [FB / 29] (0.8점) -> 6타 [GB / 1] (0.2점) -> 7타 [RO / 125] (-0.32점) -> 8타 [GR / 7] (0.8점) -> 9타 [GR / 4] (-0.7점)"
73,5,-1.65,-1.65,"1타 [TE] (0.1점) -> 2타 [GA / 16] (-1.05점) -> 3타 [FW / 79] (0.16점) -> 4타 [GR / 6] (-0.85점)"
75,4,1.82,1.8249999999999997,"1타 [TE] (1점) -> 2타 [TE] (0.65점) -> 3타 [GB / 26] (0.2점) -> 4타 [RO / 151] (0.08점) -> 5타 [GA / 29] (0.9점) -> 6타 [GA / 21] (0.28점) -> 7타 [FB / 120] (-0.67점) -> 8타 [GR / 3] (-0.6점)"
76,4,-0.9,-0.9,"1타 [TE] (-0.9점) -> 2타 [GA / 3] (-0.02점) -> 3타 [RO / 76] (0.63점) -> 4타 [GB / 25] (0.64점) -> 5타 [GR / 15] (-1.24점)"
77,5,-1.4,-1.4,"1타 [TE] (0.35점) -> 2타 [GB / 13] (0.75점) -> 3타 [GA / 20] (-0.87점) -> 4타 [RO / 53] (-1.03점) -> 5타 [FW / 50] (0.72점) -> 6타 [GR / 19] (-1.31점)"
78,3,6.77,6.7700000000000005,"1타 [TE] (1.27점) -> 2타 [RO / 133] (0.3점) -> 3타 [FB / 29] (0.25점) -> 4타 [GR / 10] (0.05점) -> 5타 [GR / 1] (1.7점) -> 6타 [GR / 5] (0.55점) -> 7타 [GR / 2] (1.25점) -> 8타 [GR / 3] (1.1점) -> 9타 [GR / 4] (1.2점) -> 10타 [GR / 7] (-0.9점)"
79,4,3.77,3.769999999999999,"1타 [TE] (0.08점) -> 2타 [RO / 91] (0.02점) -> 3타 [GA / 10] (1.5점) -> 4타 [GB / 10] (0.92점) -> 5타 [RO / 21] (2.25점) -> 6타 [OB] (-0.2점) -> 7타 [FW / 94] (0.18점) -> 8타 [FB / 60] (-0.1점) -> 9타 [FB / 45] (-0.02점) -> 10타 [GR / 6] (-0.85점)"
83,5,-1.25,-1.25,"1타 [TE] (-0.04점) -> 2타 [GR / 14] (-1.21점)"
84,4,9.05,9.05,"1타 [TE] (-0.65점) -> 2타 [GA / 21] (2점) -> 3타 [OB] (-0.15점) -> 4타 [FW / 103] (0.76점) -> 5타 [GB / 25] (1.4점) -> 6타 [OB] (0.35점) -> 7타 [GA / 20] (1점) -> 8타 [PS] (0.35점) -> 9타 [GA / 22] (2점) -> 10타 [OB] (0.28점) -> 11타 [RO / 137] (0.03점) -> 12타 [GR / 19] (0.69점) -> 13타 [GR / 9] (0.85점) -> 14타 [GR / 6] (0.25점) -> 15타 [GR / 1] (-0.1점)"
85,5,-0.42,-0.4249999999999998,"1타 [TE] (-1.17점) -> 2타 [FB / 35] (0.95점) -> 3타 [FB / 28] (0.85점) -> 4타 [GB / 28] (0.45점) -> 5타 [GA / 9] (-1.05점) -> 6타 [FW / 73] (-0.12점) -> 7타 [RO / 143] (-0.43점) -> 8타 [GR / 7] (0.45점) -> 9타 [GR / 2] (-0.35점)"
86,3,2.69,2.6900000000000004,"1타 [TE] (0.65점) -> 2타 [GB / 29] (0.95점) -> 3타 [GB / 12] (0.84점) -> 4타 [RO / 15] (0.6점) -> 5타 [GA / 18] (0.6점) -> 6타 [GR / 8] (-0.95점)"
88,3,7.48,7.4750000000000005,"1타 [TE] (1.1점) -> 2타 [FW / 156] (1.11점) -> 3타 [RO / 31] (1.06점) -> 4타 [RO / 68] (0.77점) -> 5타 [FW / 78] (1.43점) -> 6타 [RO / 108] (-0.02점) -> 7타 [GA / 6] (0.2점) -> 8타 [RO / 65] (0점) -> 9타 [FW / 108] (0.73점) -> 10타 [FB / 25] (0.55점) -> 11타 [GA / 20] (0.2점) -> 12타 [RO / 68] (0.28점) -> 13타 [RO / 157] (0.28점) -> 14타 [GB / 30] (-0.08점) -> 15타 [FW / 157] (-0.09점)"
89,3,1.38,1.3750000000000002,"1타 [TE] (0.35점) -> 2타 [GA / 14] (0.2점) -> 3타 [RO / 62] (0.33점) -> 4타 [FB / 44] (0.38점) -> 5타 [FB / 41] (0.23점) -> 6타 [GA / 3] (1.08점) -> 7타 [GR / 13] (-1.18점)"
90,5,-2.15,-2.1450000000000005,"1타 [TE] (-0.92점) -> 2타 [FB / 86] (0.52점) -> 3타 [FW / 51] (1.48점) -> 4타 [RO / 98] (0.27점) -> 5타 [GA / 17] (-0.47점) -> 6타 [FB / 124] (-1.2점) -> 7타 [FB / 30] (-0.74점) -> 8타 [FB / 51] (0.43점) -> 9타 [GA / 13] (-0.65점) -> 10타 [FW / 157] (-0.52점) -> 11타 [RO / 147] (-0.37점) -> 12타 [GR / 8] (0.85점) -> 13타 [GR / 5] (-0.8점)"
94,5,4.96,4.96,"1타 [TE] (-1.45점) -> 2타 [FW / 48] (1.05점) -> 3타 [FW / 53] (1.53점) -> 4타 [FB / 94] (0.95점) -> 5타 [FB / 83] (0.52점) -> 6타 [GB / 3] (0.91점) -> 7타 [FB / 16] (-0.67점) -> 8타 [FB / 41] (-0.08점) -> 9타 [GR / 5] (1.2점) -> 10타 [GR / 9] (0.35점) -> 11타 [GR / 2] (0.75점) -> 12타 [GR / 1] (-0.1점)"
97,5,0.75,0.7499999999999999,"1타 [TE] (0.35점) -> 2타 [GB / 17] (1.4점) -> 3타 [OB] (-0.1점) -> 4타 [GR / 7] (-0.9점)"
101,5,2.93,2.9250000000000007,"1타 [TE] (0.35점) -> 2타 [GB / 25] (1점) -> 3타 [GB / 8] (0.25점) -> 4타 [FB / 70] (-0.45점) -> 5타 [RO / 145] (-0.22점) -> 6타 [GA / 7] (1점) -> 7타 [GA / 1] (1점) -> 8타 [PS] (-0.05점) -> 9타 [GR / 8] (1.05점) -> 10타 [GR / 9] (-1점)"
102,4,6.15,6.15,"1타 [TE] (-0.17점) -> 2타 [RO / 42] (1.6점) -> 3타 [FB / 155] (0.57점) -> 4타 [PS] (0.35점) -> 5타 [GA / 21] (2점) -> 6타 [OB] (0.35점) -> 7타 [GA / 11] (0.33점) -> 8타 [FB / 138] (0.27점) -> 9타 [GB / 1] (1.05점) -> 10타 [GB / 28] (0.8점) -> 11타 [GA / 29] (0.13점) -> 12타 [RO / 108] (-1.02점) -> 13타 [GR / 1] (-0.1점)"
104,5,2.52,2.5249999999999995,"1타 [TE] (0.35점) -> 2타 [GB / 12] (0.2점) -> 3타 [RO / 87] (0.3점) -> 4타 [GR / 20] (0.68점) -> 5타 [GR / 9] (0.95점) -> 6타 [GR / 8] (0.65점) -> 7타 [GR / 3] (-0.6점)"
105,4,6.76,6.76,"1타 [TE] (-0.01점) -> 2타 [FW / 133] (1점) -> 3타 [PS] (1.02점) -> 4타 [FB / 72] (0.77점) -> 5타 [FW / 97] (1.08점) -> 6타 [RO / 50] (0.73점) -> 7타 [GB / 13] (0.63점) -> 8타 [FW / 19] (0.96점) -> 9타 [FB / 152] (0.57점) -> 10타 [FB / 152] (-0.15점) -> 11타 [GR / 6] (0.5점) -> 12타 [GR / 2] (-0.35점)"
106,4,1.35,1.35,"1타 [TE] (0.43점) -> 2타 [FB / 152] (0.75점) -> 3타 [RO / 114] (0.17점) -> 4타 [GA / 22] (1점) -> 5타 [GA / 22] (-0.4점) -> 6타 [GR / 3] (-0.6점)"
107,5,-0.25,-0.25,"1타 [TE] (-0.15점) -> 2타 [GR / 11] (0.6점) -> 3타 [GR / 4] (-0.7점)"
108,3,5.9,5.9,"1타 [TE] (1.08점) -> 2타 [RO / 99] (0.57점) -> 3타 [GB / 27] (-0.08점) -> 4타 [FW / 76] (0.51점) -> 5타 [RO / 113] (0.28점) -> 6타 [GA / 28] (-0.35점) -> 7타 [GR / 1] (1.9점) -> 8타 [GR / 9] (0.35점) -> 9타 [GR / 2] (1.35점) -> 10타 [GR / 4] (1.15점) -> 11타 [GR / 6] (-0.85점)"
109,5,-0.36,-0.35999999999999954,"1타 [TE] (0.35점) -> 2타 [GB / 22] (0.4점) -> 3타 [GB / 22] (1점) -> 4타 [PS] (-0.62점) -> 5타 [FB / 97] (-0.85점) -> 6타 [FB / 71] (-0.55점) -> 7타 [RO / 124] (-0.55점) -> 8타 [FB / 155] (-1.15점) -> 9타 [FB / 78] (0.57점) -> 10타 [GB / 22] (0.66점) -> 11타 [FW / 47] (1.06점) -> 12타 [GB / 19] (1점) -> 13타 [FB / 58] (-0.8점) -> 14타 [RO / 59] (-0.77점) -> 15타 [GR / 1] (-0.1점)"
110,4,-0.55,-0.55,"1타 [TE] (-0.65점) -> 2타 [GA / 25] (-0.02점) -> 3타 [RO / 77] (0.13점) -> 4타 [GA / 3] (1점) -> 5타 [GA / 3] (-0.65점) -> 6타 [GR / 2] (-0.35점)"
113,5,-1.48,-1.48,"1타 [TE] (-1.07점) -> 2타 [FB / 55] (2.83점) -> 3타 [OB] (0.52점) -> 4타 [RO / 130] (0.32점) -> 5타 [GB / 18] (0.92점) -> 6타 [RO / 26] (-0.47점) -> 7타 [RO / 89] (-0.5점) -> 8타 [RO / 135] (0.73점) -> 9타 [PS] (-0.7점) -> 10타 [FW / 143] (-0.52점) -> 11타 [RO / 132] (-0.6점) -> 12타 [FB / 155] (-0.85점) -> 13타 [FB / 134] (-0.95점) -> 14타 [FB / 91] (0.48점) -> 15타 [GB / 5] (-1.6점)"
115,3,2.91,2.9050000000000007,"1타 [TE] (0.6점) -> 2타 [FW / 52] (0.98점) -> 3타 [FB / 27] (0.85점) -> 4타 [GB / 30] (0.8점) -> 5타 [GA / 28] (-0.08점) -> 6타 [FW / 113] (0.69점) -> 7타 [FB / 31] (-0.82점) -> 8타 [GR / 1] (-0.1점)"
117,5,2.22,2.2249999999999996,"1타 [TE] (0.4점) -> 2타 [GB / 30] (0.45점) -> 3타 [GA / 6] (-0.95점) -> 4타 [FW / 92] (0.55점) -> 5타 [GA / 20] (0.75점) -> 6타 [GA / 6] (-0.87점) -> 7타 [FB / 47] (-0.98점) -> 8타 [FW / 65] (0.96점) -> 9타 [GB / 25] (0.25점) -> 10타 [FB / 139] (-0.18점) -> 11타 [GR / 12] (0.81점) -> 12타 [GR / 8] (0.4점) -> 13타 [GR / 2] (1.65점) -> 14타 [GR / 9] (-1점)"
121,5,-1.09,-1.0949999999999998,"1타 [TE] (-1.02점) -> 2타 [FB / 60] (0.52점) -> 3타 [FW / 30] (-0.49점) -> 4타 [GR / 1] (-0.1점)"
123,3,2.91,2.91,"1타 [TE] (0.65점) -> 2타 [FW / 67] (0.96점) -> 3타 [GB / 15] (0.98점) -> 4타 [FB / 38] (0.28점) -> 5타 [RO / 123] (-0.3점) -> 6타 [FW / 64] (0.6점) -> 7타 [GR / 15] (0.36점) -> 8타 [GR / 3] (-0.6점)"
124,3,8.7,8.700000000000001,"1타 [TE] (0.9점) -> 2타 [FW / 115] (0.68점) -> 3타 [FB / 25] (0.12점) -> 4타 [FW / 143] (0.54점) -> 5타 [FB / 32] (0.33점) -> 6타 [FB / 88] (1.93점) -> 7타 [OB] (0.22점) -> 8타 [FW / 18] (1.1점) -> 9타 [FB / 25] (0.45점) -> 10타 [FB / 111] (0.78점) -> 11타 [PS] (0.6점) -> 12타 [GB / 18] (0.95점) -> 13타 [RO / 50] (-0.28점) -> 14타 [GR / 3] (0.5점) -> 15타 [GR / 1] (-0.1점)"
125,3,2.57,2.565,"1타 [TE] (0.16점) -> 2타 [FW / 15] (0.78점) -> 3타 [FB / 146] (-0.08점) -> 4타 [GR / 18] (0.4점) -> 5타 [GR / 4] (0.65점) -> 6타 [GR / 2] (1.5점) -> 7타 [GR / 6] (-0.85점)"
126,5,-2.02,-2.025,"1타 [TE] (-1.47점) -> 2타 [FB / 15] (-0.32점) -> 3타 [FB / 119] (0.43점) -> 4타 [GB / 29] (0.25점) -> 5타 [GR / 7] (-0.9점)"
130,4,6.45,6.45,"1타 [TE] (-0.03점) -> 2타 [FB / 67] (1.15점) -> 3타 [RO / 101] (0.8점) -> 4타 [FB / 51] (1.08점) -> 5타 [FB / 51] (0.98점) -> 6타 [RO / 79] (0.48점) -> 7타 [GA / 30] (2점) -> 8타 [OB] (0.1점) -> 9타 [GR / 11] (0.75점) -> 10타 [GR / 6] (-0.85점)"
132,3,2.89,2.8949999999999996,"1타 [TE] (0.95점) -> 2타 [FW / 126] (0.63점) -> 3타 [FB / 25] (0.45점) -> 4타 [FB / 92] (0.18점) -> 5타 [GR / 18] (0.4점) -> 6타 [GR / 4] (1.1점) -> 7타 [GR / 5] (-0.8점)"
133,5,2.6,2.5999999999999996,"1타 [TE] (-1.02점) -> 2타 [RO / 76] (0.95점) -> 3타 [FB / 52] (1.17점) -> 4타 [FW / 156] (-0.29점) -> 5타 [FB / 19] (1.2점) -> 6타 [FB / 19] (0.35점) -> 7타 [GA / 19] (-0.87점) -> 8타 [FB / 46] (0.08점) -> 9타 [GR / 8] (0.75점) -> 10타 [GR / 4] (1.25점) -> 11타 [GR / 8] (-0.95점)"
135,5,-3.63,-3.6250000000000004,"1타 [TE] (-1.02점) -> 2타 [RO / 77] (0.4점) -> 3타 [RO / 13] (-0.12점) -> 4타 [FB / 143] (-1.1점) -> 5타 [FB / 71] (-0.93점) -> 6타 [FW / 104] (0.3점) -> 7타 [GR / 12] (-1.14점)"
136,3,9.05,9.05,"1타 [TE] (1.27점) -> 2타 [RO / 130] (0.27점) -> 3타 [FB / 18] (2.2점) -> 4타 [OB] (0.25점) -> 5타 [FB / 140] (-0.12점) -> 6타 [FB / 57] (0점) -> 7타 [FW / 139] (0.21점) -> 8타 [RO / 80] (-0.23점) -> 9타 [GR / 5] (0.9점) -> 10타 [GR / 4] (1.15점) -> 11타 [GR / 6] (0.75점) -> 12타 [GR / 3] (1.45점) -> 13타 [GR / 10] (0.95점) -> 14타 [GR / 9] (0.85점) -> 15타 [GR / 6] (-0.85점)"
137,5,0.52,0.5249999999999999,"1타 [TE] (0.35점) -> 2타 [GB / 8] (0.2점) -> 3타 [RO / 130] (-1점) -> 4타 [RO / 88] (0.07점) -> 5타 [GR / 11] (0.75점) -> 6타 [GR / 6] (1.1점) -> 7타 [GR / 8] (-0.95점)"
139,5,-0.25,-0.2499999999999999,"1타 [TE] (0.06점) -> 2타 [GR / 19] (0.59점) -> 3타 [GR / 7] (-0.9점)"
140,3,8.26,8.26,"1타 [TE] (0.93점) -> 2타 [RO / 68] (0.62점) -> 3타 [FW / 46] (1.05점) -> 4타 [FW / 55] (1.5점) -> 5타 [FW / 156] (0.21점) -> 6타 [RO / 11] (0.76점) -> 7타 [FB / 16] (0.55점) -> 8타 [GA / 22] (-0.08점) -> 9타 [FW / 44] (0.66점) -> 10타 [RO / 63] (0.68점) -> 11타 [GB / 18] (0.66점) -> 12타 [GR / 16] (0.09점) -> 13타 [GR / 2] (0.75점) -> 14타 [GR / 1] (-0.1점)"
141,5,-0.15,-0.1499999999999998,"1타 [TE] (-0.87점) -> 2타 [RO / 101] (-0.03점) -> 3타 [GA / 10] (-0.82점) -> 4타 [FB / 59] (-0.73점) -> 5타 [FW / 128] (2.06점) -> 6타 [OB] (-0.82점) -> 7타 [RO / 63] (0.73점) -> 8타 [GB / 30] (0.35점) -> 9타 [GB / 30] (0.05점) -> 10타 [GR / 10] (0.65점) -> 11타 [GR / 4] (-0.7점)"
